level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
3,1,11,1,0,0,174,3005,1692,185,-1.0,
4,1,11,1,1,0,174,3005,1689,43,-1.0,
5,1,11,1,1,1,174,3005,82,30,96.483231,Mar.
5,1,11,1,1,2,285,3015,35,20,69.492516,12
5,1,11,1,1,3,367,3005,64,29,69.492516,Act
5,1,11,1,1,4,453,3005,195,37,93.298599,respecting
5,1,11,1,1,5,668,3005,163,30,91.920486,distraint
5,1,11,1,1,6,855,3011,33,25,96.869972,to
5,1,11,1,1,7,911,3011,121,36,96.708694,satisfy
5,1,11,1,1,8,1055,3012,135,36,96.229485,private
5,1,11,1,1,9,1212,3011,116,29,96.790321,claims
5,1,11,1,1,10,1352,3012,67,28,96.713181,and
5,1,11,1,1,11,1442,3011,88,29,96.615875,rules
5,1,11,1,1,12,1552,3011,51,29,96.545891,for
5,1,11,1,1,13,1628,3012,56,30,93.291786,the
5,1,11,1,1,14,1707,3012,156,30,92.405731,satisfac-
4,1,11,1,2,0,371,3052,1492,43,-1.0,
5,1,11,1,2,1,371,3053,70,29,96.374664,tion
5,1,11,1,2,2,464,3053,36,29,95.702301,of
5,1,11,1,2,3,524,3053,56,30,96.515533,the
5,1,11,1,2,4,605,3053,74,29,96.515533,said
5,1,11,1,2,5,703,3052,117,31,93.290558,claims
5,1,11,1,2,6,843,3055,29,36,89.631439,[§
5,1,11,1,2,7,900,3064,48,27,96.456261,"12,"
5,1,11,1,2,8,973,3059,215,29,96.354591,attachment
5,1,11,1,2,9,1212,3059,36,28,96.562988,of
5,1,11,1,2,10,1273,3059,57,29,96.577667,the
5,1,11,1,2,11,1353,3057,141,31,96.497231,salaries
5,1,11,1,2,12,1515,3059,36,28,96.488693,of
5,1,11,1,2,13,1578,3060,97,28,96.580414,State
5,1,11,1,2,14,1699,3059,164,36,89.169746,officials;
4,1,11,1,3,0,371,3101,1495,43,-1.0,
5,1,11,1,3,1,371,3101,13,35,93.127945,§
5,1,11,1,3,2,413,3101,48,34,96.444016,"16,"
5,1,11,1,3,3,489,3101,200,37,96.341164,exemption
5,1,11,1,3,4,715,3101,36,29,96.118546,of
5,1,11,1,3,5,777,3101,56,30,96.379074,the
5,1,11,1,3,6,860,3111,94,28,96.517609,wage
5,1,11,1,3,7,979,3105,117,30,96.503845,claims
5,1,11,1,3,8,1121,3105,37,30,96.291794,of
5,1,11,1,3,9,1181,3105,137,37,93.239868,private
5,1,11,1,3,10,1346,3107,252,37,91.845207,wage-earning
