country,region,text,page
CANADA,Terranova,"25/I11/1983 Modificaciones del reglamento de 1979 sobre la seguridad y la higiene del traba-  jo, dictado en aplicacion de la ley sobre la misma materia (O.C. 329/83). Reglamento de  Terranova 73/83. (Newfoundland Gazette, parte II, 31 marzo 1983, num. 13.)  ",7
COSTA RICA,,"27/1/1983 Decreto 14222-SPPS: Reglamento de las juntas de salud y seguridad social. (La  Gaceta, 25 abril 1983, num. 77.)  ",7
CHECOSLOVAQUIA,,"— Ley [121 de 1975: SL 1975—Chec. 3] sobre ta seguridad social (texto codificado de la ley,  en su tenor ulteriormente modificado y completado). (Sbirka Zakont, 28 marzo 1983,  num. 4, texto 30.)  ",7
CHECOSLOVAQUIA,Republica Socialista Checa,— Ley (69 de 1967] relativa a los comités del pueblo (texto codificado de la ley en su tenor  ,7
CHECOSLOVAQUIA,Republica Socialista Checa,(163) 3  ,8
CHECOSLOVAQUIA,Republica Socialista Eslovaca,"— Ley [69 de 1967] relativa a los comités del pueblo (texto codificado de la ley en su tenor  modificado y completo vigente para la Republica Socialista Eslovaca). (bid. 13 abril  1983, num. 6, texto 35.)  ",8
DINAMARCA,,"1/111/1983 Notificacién 78 relativa a la remuneracion de las vacaciones (sistema de timbres,  etcétera). (Lovtidende A, 1983, num. 14.)  [Deroga la notificacion num. 552 de 1981 sobre la misma materia.}  ",8
DINAMARCA,,"25/V/1983 Ley 200 que modifica la ley [444 de 1982: véase SL 1977—Din. 2} sobre la colo-  cacion y el seguro de desempleo, y por la que se provee a otros fines. (/bid., nim. 32.)  ",8
DINAMARCA,,"8/V1/1983 Ley 245 por la que se modifica la ley [444 de 1982: véase SL 1977—Din. 2]  sobre la colocacién y el seguro de desempleo, y por la que se provee a Otros fines. (/bid.,  num. 38.)  {Modifica el art. 57.]  ",8
DINAMARCA,,"7/VH/1983 Notificacién 323 relativa a la ejecucion del trabajo. (/bid., num. 49.)  [Disposiciones sobre la seguridad y !a higiene dictadas en aplicacion de la ley (681 de  1975: SL 1975—Din. 1) sobre el medio de trabajo.]  ",8
REPUBLICA DOMINICANA,,"29/i1V/1983 *Decreto i0i9 por ei que se crea ia Comision Nacional de Empleo. (La Gaceta,  30 abril 1983, num. 96.)  [La Comisién Nacional de Empleo tiene por objeto programar e impulsar la politica del  empleo.]  ",8
ESPANA,,"9/V/1983 Orden de desarrollo del real decreto 1445 de 25 junio 1982 [SL 1982—Esp. 2] mo-  dificado por el real decreto 3887 de 29 dic. 1982 por el que se regulan diversas medidas de  fomento del empleo. (Boletin Oficial del Estado, 14 mayo 1983, num. 115.)  ",8
ESPANA,,"11/V/1983 Real decreto 1451 por el que, en cumplimiento de lo previsto en la ley 13 de 7  abril 1982, se regulan el empleo selectivo y las medidas de fomento del empleo de los tra-  bajadores minusvalidos. {/bid., 4 junio 1983, num. 133.)  ",8
ESPANA,,"15/VII/1983 Ley organica 9 reguladora del derecho de reunion. (/bid., 18 julio 1983,  num. 170.)  [Deroga la ley 17 de 29 mayo 1976 sobre la misma materia.]  ",8
ESTADOS UNIDOS DE AMERICA,,"14/1/1983 *Ley sobre la proteccién de los trabajadores migrantes y de los trabajadores agri-  colas estacionales. Public Law 97-470, 97th Congress, HR 7102. (US Code Congressional  and Administrative News, marzo 1983, num. 12.)  ",8
ESTADOS UNIDOS DE AMERICA,,"28/11/1983 Modificacion de la parte 1910 — Seguridad e higiene del trabajo, del titulo 29 del  Cédigo de Reglamentos Federales. (Federal Register, 8 marzo 1983, num. 46.)  ",8
ESTADOS UNIDOS DE AMERICA,,"4/11I/1983 Modificaciones de las partes 404 — Seguro federal de vejez, supervivientes e inva-  lidez (1950— ) — y 416 — Ingresos de seguridad complementarios para las per-  sonas de edad avanzada, ciegas e invalidas, del titulo 20 del Cddigo de Reglamentos Fede-  rales. (/bid., 16 mayo 1983, num. 95.)  ",8
FINLANDIA,,"4/111/1983 Ley modificatoria del art. 9 de la ley (395 de 1961) [SL 1961—Fin. 4] sobre las  pensiones de los trabajadores. (Finlands Férfattningssamling — Suomen Sdddéskokoel-  ma, 1983, num. 235.)  4 (164)  ",8
FINLANDIA,,"4/11/1983 Ley modificatoria de la ley (72 de 1956) [SL 1956—Fin. | ... 1970—Fin. 6] sobre  las pensiones de los marinos. (/bid., nim. 236.)  (Modifica los arts. 1.°, 17, 27 y 27a.]  ",9
FINLANDIA,,"18/11/1983 Ley modificatoria de la ley (302 de 1961) [SL 1961—Fin. 2, 1968—Fin. 2] sobre  el trabajo en las panaderias. (/bid., nim. 264.)  (Modifica los arts. 1.°, 2, 4 y 5.]  ",9
FINLANDIA,,"30/11/1983 Decision del Consejo de Estado por la que se modifica la decision (284 de 1978)  del Consejo de Estado relativa a las vacaciones de los trabajadores empleados por el Esta-  do. (/bid., nim. 341.)  [Modifica los arts. 2, 3 y 5.]  ",9
FINLANDIA,,"6/V/1983 Ley modificatoria de la ley (246 de 1959) [SL 1959—Fin. 1] sobre la colocacion.  ([bid., nim. 424.)  [Modifica los arts. 3a,16a y 165.]  ",9
